ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC,Decision Threshold
Gradient Boosting,0.8046934140802422,0.8025052938426422,0.8037974683544303,0.9559139784946237,0.8732809430255403,0.4957903969943987,0.45000000000000023
Random Forest,0.8009084027252081,0.7802904050820889,0.8279252704031466,0.9053763440860215,0.8649203903441192,0.4964940816538891,0.5000000000000002
Decision Tree,0.7978803936411809,0.7347606083106455,0.8209099709583737,0.9118279569892473,0.8639836984207845,0.4849907306981361,0.4100000000000002
Logistic Regression,0.781226343679031,0.8033303082803949,0.8696655132641292,0.810752688172043,0.8391764051196439,0.5014815323891156,0.4300000000000002
KNN,0.7358062074186222,0.7109864422627395,0.741479634247714,0.9591397849462365,0.8363806844819504,0.26207147202929587,0.5700000000000003
Naive Bayes,0.7350492051476154,0.7047740835464622,0.7575488454706927,0.9172043010752688,0.8297665369649806,0.28182318791017247,0.46000000000000024
